"","fighter","attack_type","attack_name","damage_raw","description"
"733","Fox","Down special","Reflector","2% (activation), 1.4× reflected projectile","Activates his Reflector, surrounding himself with a blue hexagonal energy field. All projectiles are deflected and do increased damage. The Reflector also damages nearby foes upon activation, weakly launching them at a semispike angle. After reflecting a projectile, Fox can jump, spotdodge or roll, which allows him to escape potential punishes. It stalls Fox in the air, giving him a landing or a recovery mix-up, though he can only do it once until he lands or gets hit. Due to 3 frame startup, intangibility on frames 2-3 and low knockback angle, this move can be used to finish combos, start tech chases, escape combos, and edgeguard or gimp recoveries."
"734","Fox","Final Smash","Team Star Fox","3% (trapping hit), 30% (lasers), 10% (end)","Upon activation, Fox shouts ""It's go time!"", with a large green reticle appearing in front of him. Three Arwings fly in a tight formation from behind the screen in the area where the reticle is located. Upon hit, a cinematic begins with Fox and his team flying in a group of Arwings, as Fox himself says, ""Star Fox- fire at will!"" (saying ""This is the end for you, Wolf!"" if he hits Wolf), as all of the members then fire lasers at the trapped opponents, damaging them heavily and launching them horizontally as the cutscene ends."
"735","Falco","Neutral attack","","1.5%","Performs two knifehanded strikes before spinning his whole body to perform a series of knifehand strikes, with a final downward axe kick that sends the opponent away. The first two jabs can lock. The first hit starts on frame 2, making it one of the fastest neutral attacks in the game. At mid percents, it can be followed up with Blaster to lock opponents who miss a tech. As Falco's neutral attack will only transition into an infinite and has high ending lag if canceled on the second hit, it can be punishable on shield. Regardless, its speed makes it a reliable close-range interceptor."
"736","Falco","Neutral attack","","1.5%","Performs two knifehanded strikes before spinning his whole body to perform a series of knifehand strikes, with a final downward axe kick that sends the opponent away. The first two jabs can lock. The first hit starts on frame 2, making it one of the fastest neutral attacks in the game. At mid percents, it can be followed up with Blaster to lock opponents who miss a tech. As Falco's neutral attack will only transition into an infinite and has high ending lag if canceled on the second hit, it can be punishable on shield. Regardless, its speed makes it a reliable close-range interceptor."
"737","Falco","Neutral attack","","0.3% (loop), 3% (last)","Performs two knifehanded strikes before spinning his whole body to perform a series of knifehand strikes, with a final downward axe kick that sends the opponent away. The first two jabs can lock. The first hit starts on frame 2, making it one of the fastest neutral attacks in the game. At mid percents, it can be followed up with Blaster to lock opponents who miss a tech. As Falco's neutral attack will only transition into an infinite and has high ending lag if canceled on the second hit, it can be punishable on shield. Regardless, its speed makes it a reliable close-range interceptor."
"738","Falco","Forward tilt","","6%","A roundhouse kick that can be angled both up and down. The angled versions send Falco's leg at very strong angles, being capable of missing medium-sized characters like Mario if aimed up, but being able to hit any grounded character when aimed down. It is fast (frame 6) and has rather low ending lag (19 frames), but will not cause tumbling until around 70%, making more suited for creating space at lower percents. At higher percents, it can set up a tech-chase situation."
"739","Falco","Up tilt","","3.5% (hit 1), 2.7% (hit 1 sourspot), 4% (hit 2)","Swings his wings up in the air, one after the other. Very fast (frame 5) with wide hitboxes that can hit prone opponents in front, and medium-sized characters from behind. One of Falco's best combo initiators due to its speed, low ending lag and low knockback, allowing him to follow up with his capable aerial moves. It can combo into itself or neutral aerial at low percents, most aerials at mid percents, and even up aerial at around 110% as a KO setup. Hit 1 has a sourspot near the end of its hitbox duration that deals 2.7%, and has set knockback with no followups."
"740","Falco","Down tilt","Tail Cutter","13% (near), 12% (mid), 10.5% (far)","Crouches on the floor and swipes with his tail feathers. A very strong down tilt with high damage and knockback, though it is rather slow (frame 10). Deals more damage and knockback the closer the opponent is to Falco, with the sweetspot being capable of KOing Mario at around 128%, and the sourspots being able to start aerial combos."
"741","Falco","Dash attack","","9% (clean), 6% (late)","A flying kick. Has decent knockback and is a usable approach option due to its speed (frame 8) and the distance Falco moves. The clean hit sends at a diagonal trajectory, while the late hit sends at a semi-spike angle. However, it is punishable on shield and cannot KO until extremely high percentages."
"742","Falco","Forward smash","","16% (clean), 12% (late)","Uses both wings to perform a wide knifehanded swing in front of himself. Hits on frame 17. Unlike the version in SSB4, Falco does not move forward as much, reducing its range. Regardless, the clean hit is one of Falco's strongest finishers, KOing Mario at 100% from the middle of Final Destination. The late hit sends at a semi-spike angle and still has respectable KO potential near the ledge, doing so at around 130%."
"743","Falco","Up smash","","4% (hit 1), 13% (hit 2)","Performs a 540 kick while facing towards/away from the camera (the former if he is facing right). Very fast for a smash attack, hitting on frame 7. However, its hitbox has been moved significantly upwards, heavily reducing its utility from SSB4 as it will now completely miss medium-sized opponents touching his back, opponents one character length away from him, and even fully prone opponents directly next to Falco's legs. As a result, it is mostly used to punish landings from above Falco, and can no longer be used as an all-purpose smash attack, Furthermore, up smash is known to occasionally fail in the conversion from the first hit to the second, which weakens it as a finishing move.  The second hit KOs Mario at 117%."
"744","Falco","Down smash","","15% (feet), 12% (legs)","A split kick. Falco's feet are intangible during the attack. Comes out fast (frame 8) and sends at a semi-spike angle with reasonable knockback, making it effective against fighters with poor horizontal recovery. However, its range is extremely lacking, with both his forward and down tilts outranging it. KOs Mario at 104% from the edge of Final Destination. It has a sourspot on Falco's legs, though this is very hard to land due to the sweetspot outprioritizing it."
"745","Falco","Neutral aerial","Spinning Falco Chop","3% (hits 1), 2% (hit 2-3), 4% (hit 4)","Spins his entire body clockwise to perform a series of spinning knifehanded strikes. Despite its looks, it has difficulty hitting opponents from behind. Extremely fast startup (frame 3) with low landing lag (9 frames), hitboxes that cover most of his upper body, and a good damage output. It is an overall effective move for aerial offense, as it can be used out of a short hop as a walling option, follow up into other moves, catch opponents out of shield, and KO offstage at around 90%. The looping hits use the autolink angle, allowing it to start combos while falling; however, the hits now transition faster, making this difficult to do consistently. Opponents may also fall out of the move if Falco fast-falls. Auto-cancels from a full hop fast-fall, though the timing is rather strict."
"746","Falco","Forward aerial","","1% (hits 1-5), 4% (hit 6), 3% (landing hit)","Spins in a drill-like formation, hitting multiple times with his beak. It is relatively fast (frame 7) with a further-reaching hitbox than neutral aerial. The hits use the auto-link angle and therefore connect reliably, and can be used to gimp recovering opponents while falling; trading hits with forward aerial usually results in the opponent being sent diagonally downwards. The final hit deals decent knockback and can KO at 135% near the edge. This move has rather high landing lag (15 frames) and cannot auto-cancel; instead, landing causes a grounded hit in front of Falco which deals moderate knockback. This makes it safer on shield, and can KO at the edge of the stage from 154%."
"747","Falco","Back aerial","","13% (clean), 7% (late)","Faces backwards to perform a kick behind himself. Its renowned power from SSB4 has been retained, being one of the strongest back aerials in the game. This makes it Falco's best aerial KO option, doing so on Mario at 85% at the edge of Final Destination. However, its utility has been toned back due to an increase of startup lag, now making its speed rather average (frame 9) and makes it more difficult to hit most characters out of a short hop. Back aerial is also a sex kick, allowing it to wall out opponents while landing. Auto-cancels from a short hop."
"748","Falco","Up aerial","","9%","A somersault kick from back to front above himself. Sends at a slightly diagonal trajectory upwards. Hits on frame 7, auto-cancels from a short hop, has low landing lag (9 frames) and possesses a deceptively wide hitbox which can catch opponents if used right before landing. These factors make it an excellent aerial juggling tool, as it can knock opponents into the air for additional followups, including into itself. Due to Falco's impressive jump height, it can act as a KO option at around 130% near the upper blast line. However, it will not hit medium-sized characters during a short hop unless Falco directly touches his foe."
"749","Falco","Down aerial","Corkscrew Meteor","13% (clean), 8% (late)","A downward corkscrew kick that hits once. Has sex kick properties, with the clean hit dealing a powerful diagonal meteor smash against aerial opponents. Previously infamous for being heavily nerfed from Brawl to SSB4, down aerial has been significantly buffed in Ultimate: it now auto-cancels in a short hop and has twice the startup of the iteration in Brawl (frame 10). As a result, it is an excellent tool in the neutral game, allowing Falco to put out a lasting hitbox with little risk of punishment. It is also a potent edgeguarding tool due to the meteor smash's sheer speed. On grounded opponents, the move instead launches them directly upward at a slight angle with higher base knockback but much lower knockback scaling, granting it combo potential at a wide variety of percents, including into a second down aerial as a KO combo. However, the move has notably high ending lag, noticeable landing lag (14 frames) and very poor horizontal range. Regardless of these factors, down aerial is once again one of Falco's staple moves."
"750","Falco","Grab","","—","Reaches forward with his right wing. A fast grab."
"751","Falco","Pummel","","1.2%","Knees the opponent. Rather slow for a pummel."
"752","Falco","Forward throw","","4% (hit), 3% (throw)","Slams the opponent forward with his right arm. Has no true followups at 0%, though it can followup with dash attack. At around 40%, it causes opponents to tumble, allowing setups such as a lock from neutral attack or Blaster, or tech chases if the opponent rolls. Otherwise, this throw is mostly used to send opponents offstage."
"753","Falco","Back throw","","6% (throw), 3% (Blaster shot)","Throws the opponent behind him before firing a Blaster shot towards them. The laser can KO at extremely high percentages near the edge, though opponents can DI'd out of it. It is otherwise used to send opponents offstage, like forward throw."
"754","Falco","Up throw","","4% (throw), 4% (Blaster shot)","Throws the opponent above him before firing a Blaster shot towards them. An effective aerial combo initiator, as it can combo into aerials from 0% till as high as 120% if the laser connects. At high percents, up aerial can KO an opponent after an up throw. However, opponents can DI away from the laser, much like back throw."
"755","Falco","Down throw","","2% (throw), 3% (Blaster shot)","Lays the opponent on the ground before firing a point blank Blaster shot. It is an effective combo throw like up throw, though it is more focused on grounded followups. Combos into neutral attack, dash attack, forward tilt, up smash, neutral aerial, forward aerial, Blaster, and Falco Phantasm. Can also set up for Blaster locks."
"756","Falco","Floor attack (front)","","7%","Gets up and does a thrust kick behind him with one leg, and then in front of him with the other."
"757","Falco","Floor attack (back)","","7%","Similar to his frontal floor attack, but he kicks in front of himself first."
"758","Falco","Floor attack (trip)","","5%","Does a sweep kick forward, then backwards."
"759","Falco","Edge attack","","9%","Lifts his entire body onto the stage to attack with a corkscrewing dropkick, before returning onto his feet from a back handspring."
"760","Falco","Neutral special","Blaster","3%","Pulls out his Blaster and fires a slim blue laser projectile. Compared to Fox's Blaster, it fires at a much slower rate but causes hitstun and deals electric damage. It is very laggy on the ground, making it very punishable if the opponent is close or at a low percentage. However, it is much more effective in the air, as it can be fired marginally faster while airborne and has significantly lower ending lag, with short hop Blaster shots causing Falco to experience only 6 frames of landing lag. This is one of Falco's main tools with multiple uses, including deterring approaches, gimping offstage opponents, tacking on damage, and locking failed techs."
"761","Falco","Side special","Falco Phantasm","7% (grounded), 6% (aerial)","Rears back before launching himself forward in a blue blur of afterimages. The grounded move will stop if Falco reaches a ledge. Compared to Fox Illusion, Falco Phantasm starts up faster and deals less knockback when grounded, but will weakly meteor smash aerial opponents, allowing it to be used for gimps. As the grounded version moves opponents slightly towards Falco, it can be used to initiate combos. It is also an excellent horizontal recovery option, as it does not cause helplessness. However, it can only be used once in midair before landing, will cause Falco to stop in front of a shielding opponent, and has a predictable trajectory. As a result, it is easily punishable if used carelessly. Despite its looks, the hitbox stops short near the end of the move when Falco begins to slow down. After concluding the dash, Falco does a cancellable animation where he fist pumps both his arms towards his sides."
"762","Falco","Up special","Fire Bird","2% (charging loop), 3% (tackle startup), 2% (tackle loop)","Engulfs himself in an aura of flame before launching himself in a fiery tackle. The trajectory of the move can be chosen before Falco launches himself, with up to 16 angles to choose from. After the move ends, Falco becomes helpless. Compared to Fire Fox, Fire Bird travels less distance, deals multiple hits and has almost no KO potential, though it does a high amount of total damage if every hit lands (does a maximum of 33%, being the most damaging up special in the game). It can therefore be used as a niche damage-racking option, though the looping hits sometimes have issues keeping the opponent trapped in the move."
"763","Falco","Down special","Reflector","5% (Reflector), 1.2× reflected projectile","Activates his Reflector and kicks it forward, reflecting any projectiles back towards opponents and doing minimal electric damage to opponents that make contact. It then returns to him as if it was magnetized. It can also be used as a poking tool that can lock floored opponents."
"764","Falco","Final Smash","Team Star Fox","3% (trapping hit), 30% (Arwings), 10% (end)","Upon activation, Falco announces ""Showtime!"" and targets in front of himself with a green reticle. Three Arwings fly in an unorthodox formation from behind the screen in the area where the reticle is located. Upon hit, both Falco and his victims are sent skywards, and a cinematic begins with Falco and his team flying in a group of Arwings. Falco then announces ""Time for a little payback!"" (single victim), or ""We've got multiple bogeys inbound!"" (multiple targets), as all of the members then fire lasers at the trapped opponents, damaging them heavily. Compared to Fox's version, Falco's Arwing flight has a more erratic flight pattern, and the launching hit causes vertical knockback."
"765","Wolf","Neutral attack","","2%","An inward slash with his left hand, followed by another inward slash with his right, finishing with an outward swipe with the right. Fairly quick, coming out on frame 4, and can jab lock opponents. However, the last hit has short range compared to other neutral attacks, which can cause it to fail to connect from the previous hits at high percents."
"766","Wolf","Neutral attack","","2%","An inward slash with his left hand, followed by another inward slash with his right, finishing with an outward swipe with the right. Fairly quick, coming out on frame 4, and can jab lock opponents. However, the last hit has short range compared to other neutral attacks, which can cause it to fail to connect from the previous hits at high percents."
"767","Wolf","Neutral attack","","4%","An inward slash with his left hand, followed by another inward slash with his right, finishing with an outward swipe with the right. Fairly quick, coming out on frame 4, and can jab lock opponents. However, the last hit has short range compared to other neutral attacks, which can cause it to fail to connect from the previous hits at high percents."
"768","Wolf","Forward tilt","","5% (hit 1), 6% (hit 2)","Forcefully brings his claws together, then separates his claws on impact. The first hit produces a large amount of freeze frames. Deals above-average damage for a tilt, and can KO at around 140% near the edge of Final Destination."
"769","Wolf","Up tilt","","10% (foot), 9% (leg), 8% (body)","A leaping upward kick with one leg. It has fast startup, and high power when hitting with the sweetspot at Wolf's foot, KOing middleweights under 140% from ground level. However, unlike most other up tilts, its ending lag and launch angle prevents it from being used to start combos."
"770","Wolf","Down tilt","","6%","Kicks out with his foot while crouching. The move has rather decent range and quick speed, which makes it a good poking and pressuring option, as well as a useful tool to deny approaches. It also has the chance to trip, which can potentially make it a combo starter. However, it is the weakest out of Wolf's tilts."
"771","Wolf","Dash attack","","11% (clean), 8% (late)","Lunges forward with a flying kick. Has decent startup, but most importantly, it propels Wolf forward a considerable distance, and its clean hit deals respectable damage and knockback. This allows it to function as a reliable burst option to punish landings, whiffed moves, and follow up from other attacks. Hitting opponents close to Wolf launches them upward, while hitting them near his foot launches them more horizontally. Depending on which hitbox is landed, the clean hit can KO under 150% from center stage, and under 120% near the edge."
"772","Wolf","Forward smash","","15%","Rears back, then performs a forceful palm strike. While it has slow startup, hitting on frame 20, it has notoriously low ending lag (interruptible on frame 42), allowing it to be safe on shield, and potentially difficult to punish even if missed. It also has remarkable power, KOing middleweights at around 100% from center stage. As a result, it is one of Wolf's safest KO options on the ground."
"773","Wolf","Up smash","","6% (hit 1), 12% (hit 2)","A breakdance-like spin followed by an upward dropkick. It has the fastest start-up of his smash attacks. The first hit offers surprisingly long horizontal range, which when combined with its moderately fast startup, makes it a great out-of-shield option. It deals high damage, hits at both sides and provides wide coverage above Wolf, making it useful to quickly punish opponents close to him and set up juggles. Due to its moderate ending lag for an up smash, the second hit can also lead into an up aerial at low percents if the opponent's option out of hitstun is successfully covered. However, its power is slightly below-average for a smash attack, not KOing middleweights until around 120% uncharged, and can be easily punished on shield due to the second hit's lack of horizontal range."
"774","Wolf","Down smash","","14%/16% (hit 1), 12%/14% (hit 2)","Slashes at a low height in front of himself with one hand, then behind himself with the same hand. Both hits have sweetspots at the tips of Wolf's claws, which launch at a lower, semi-spike angle with higher power. The move has moderate startup (hitting on frame 14 at the front), but has decent ending lag for a smash attack (interruptible on frame 44), making it safe on shield if spaced, can reliably 2 frame punish opponents, and the sweetspots are extremely powerful, with the front hit's sweetspot being among the strongest down smashes in the game and KOing middleweights from center stage at around 85%, and the back one at around 100%, and both KOing them near edges at around 55% and 70% respectively. As a result, it is Wolf's most dangerous edgeguard tool, as well as a reliable finisher at close range."
"775","Wolf","Neutral aerial","","12% (clean), 8% (late)","A flying kick, much like Fox's neutral aerial. Compared to other sex kick neutral aerials, it has slower startup (hitting on frame 7), but deals higher damage and knockback with its clean hit. It is one of Wolf's fastest aerials, tied with his forward and up aerials, but compared to those, it hits lower, has a longer duration, and covers a consistent area. Combined with its low landing lag (9 frames), this makes it very useful for air-to-ground transitioning, as well as starting combos at a variety of percents, with the clean hit being more effective at lower percents and the late hit being more effective at higher percents. The clean hit is also a decent finisher near the edge, KOing at around 145%."
"776","Wolf","Forward aerial","","9%","A downward arcing slash with his left arm. It is a staple of Wolf's neutral game, with its fast startup (tied with neutral and up aerial), wide vertical arc, and low landing lag (10 frames) making it a safe approach option, and combined with its 60° launch angle, allowing it to combo into a multitude of moves, such as a jab, any tilt, or grab at low percents, any aerial attack from low to mid percents (including itself to extend combos), and even Wolf Flash as a KO setup (albeit risky and hard to land) at high percents. However, it has poor edgeguarding ability due to its more vertical angle, and deals the least damage and knockback out of Wolf's aerials, exacerbated further by stale-move negation due to its frequent use in his neutral game."
"777","Wolf","Back aerial","","11% (body), 13% (leg), 15% (foot)","A back kick. It has noticeable startup (hitting on frame 13), ending lag, and landing lag (15 frames), making it Wolf's second slowest aerial (behind down aerial). To compensate, its autocancel frames come out very quickly after the hitboxes (on frame 18), effectively giving it little to no ending lag with proper timing, allowing it to poke shields and bait opponents. It is also one of Wolf's main KO moves: it deals high damage and significant knockback if sweetspotted, KOing at around 110% from center stage and 75% near the edge, while its other hitboxes still boast respectable KO potential."
"778","Wolf","Up aerial","","12%","An overhead arcing slash, starting from the front. Its fast startup, wide arc, low landing lag (10 frames) and vertical knockback allow it to juggle opponents very effectively. It can also set up combos into itself and other attacks from low to mid percents, though not as reliably as forward aerial. Additionally, it possesses enough knockback to KO from 120% to 130% near the top blast line."
"779","Wolf","Down aerial","","13% (body), 15% (arms)","A takedown slash below himself with both arms. It has the most startup (hitting on frame 16), ending lag, and landing lag (19 frames) out of Wolf's aerials, making it particularly risky to use offstage due to Wolf's poor recovery. However, it meteor smashes opponents consistently throughout the move, instead of requiring to land a specific part of it like most other meteor smashing aerials. This essentially turns it into a high risk, high reward edgeguarding option. Against grounded opponents, it can combo into a variety of attacks even up to high percents."
"780","Wolf","Grab","","—","Swipes forward with his right arm."
"781","Wolf","Pummel","","1.3%","Hits the opponent with his right knee."
"782","Wolf","Forward throw","","5% (hit 1), 4% (throw)","Slashes the opponent away. While it deals decent damage, it is extremely weak, not KOing opponents under 300% even at the edge, and its ending lag is too high for reliable followups. Because of this, it has little utility outside of throwing opponents offstage. Even then, it is mostly outclassed by down throw for said purpose, which also launches horizontally, but deals considerably higher knockback and has combos at lower percents, with forward throw's only advantages over it being its slightly higher damage and lower angle. However, the lower angle makes it a rather potent tech-chasing move at higher percentages."
"783","Wolf","Back throw","","6% (hit 1), 5% (throw)","Sets the opponent behind himself and launches them away with an ascending slash. Deals the most damage out of Wolf's throws, and has remarkable knockback, allowing it to KO middleweights at around 185% from center stage, and around 130% near the edge. However, its launching angle is mostly diagonal, making it somewhat easy to DI."
"784","Wolf","Up throw","","5% (hit 1), 2% (throw)","Brings the opponent above himself and slashes them upward. One of Wolf's most reliable combo starters, leading into a forward aerial or up aerial until around 90%, which can then keep the opponent in a disadvantageous state."
"785","Wolf","Down throw","","8.5%","Grabs the opponent by the head, then does a leaping somersault and slams them onto the ground. It launches opponents horizontally with low ending lag, allowing it to combo into a dash attack until around 45%, or potentially set up tech-chases if the opponent does not DI enough to act out of hitstun before hitting the ground. At around the 60-100% percent range, it can also combo into Wolf Flash depending on weight and DI, though doing this close to an edge will cause Wolf to self-destruct in the process, making it a high-risk, high-reward combo."
"786","Wolf","Floor attack (front)","","7%","Gets up and kicks backward, then forward."
"787","Wolf","Floor attack (back)","","7%","Gets up and punches forward, then kicks backward."
"788","Wolf","Floor attack (trip)","","5%","Sweeps one leg around himself, starting from the front."
"789","Wolf","Edge attack","","9%","Gets up and slashes inward."
"790","Wolf","Neutral special","Blaster","7% (bayonet), 6%/8%/7% (laser close-far)","Fires a single, purple energy shot from his blaster. This move is the centerpiece of Wolf's neutral game and is widely considered to be one of the best projectiles in the game. It has the ability to be able to reliably disrupt and force approaches thanks to its decent lag, as well as the laser's moderately large size and transcendent priority. Unlike most projectiles, it has great utility in close-quarters combat, as the blaster itself has a hitbox on the bayonet which connects to the laser, dealing decent damage if both hits connect. As a result, it is an excellent tool in Wolf's neutral game, due to the myriad of abilities it is capable of."
"791","Wolf","Side special","Wolf Flash","3% (dash), 20% (meteor smash), 15% (semi-spike)","Dashes quickly at a diagonal angle, leaving a claw trail behind, alongside another trail in front of himself at the end of the dash. It can be slightly aimed up or down, the latter which allows it to hit most grounded opponents. The dash itself is very weak, but at the end, it possesses two, much stronger hitboxes; one closer to Wolf's center that meteor smashes aerial opponents, and another more in front of him that semi-spikes both grounded and aerial ones. The meteor hitbox deals extremely high damage with enough knockback to KO opponents at around 10% at ground level, while the semi-spike can KO at around 120% from center stage and 85% near edges; as a result, it is one of Wolf's strongest finishers. However, it causes helplessness, and has high landing lag of 30 frames, making it very risky to use, and requiring Wolf to pick between it or Fire Wolf for recovery."
"792","Wolf","Up special","Fire Wolf","4% (hit 1), 2.5% (hits 2-4), 5% (hit 5, ground), 6% (hit 5, air)","Propels himself with a kick in the chosen direction, dragging opponents along in multiple hits, then delivers a final kick with his other leg. It is generally subpar as a recovery option, due to its slow startup and lack of distance compared to other recoveries that can be aimed. However, it works decently as an attack, as it deals high damage if all hits connect, and the last hit can KO at around 150% from center stage, and 95% at the edge, which makes it a potent edgeguarding tool if used correctly."
"793","Wolf","Down special","Reflector","4% (startup), 5% (reflection), 1.5× damage (reflected projectiles)","Activates his reflecting device, creating an electrical field around himself that reflects incoming projectiles. Reflected projectiles deal more damage and travel at almost twice the original speed. Upon activation, the Reflector also grants Wolf brief intangibility (frames 5-8), and damages opponents in addition to launching them at a mostly vertical angle (65°), granting it some combo potential. There's also another hitbox that comes out once Wolf reflects a projectile that deals 5% damage. Unlike Fox's Reflector, Wolf's  version does not stall him upon first use in the air."
"794","Wolf","Final Smash","Team Star Wolf","3% (trapping hit), 35% (lasers), 10% (end)","Upon activation, Wolf shouts ""Wolf pack!"", with a large red reticle appearing in front of him, as a Wolfen flies from behind the screen in the area where the reticle is located. Upon hit, a cinematic begins with Wolf and his crew flying in a group of Wolfens, as Wolf himself says, ""Grahaha! The hunt is on, boys!"" (saying ""I've got you now, Star Fox!"" if he hits Fox or Falco), as all of the members then fire lasers at the trapped opponents, damaging them heavily and launching them horizontally as the cutscene ends."
"795","Pikachu","Neutral attack","Headbutt","1.4% (near), 1.2% (mid), 1% (far)","Quickly headbutts forward. Has minimal startup lag (frame 2) and low cooldown, making it spammable and combo into itself easily. Can lock."
"796","Pikachu","Forward tilt","","10%","An electrified double kick performed from the baby freeze, a variation of the freeze breakdancing move. It deals more damage when angled upward, and the lower angles semi-spike. Deals moderate knockback; the unangled version KOs Mario around 155% at the edge of Final Destination."
"797","Pikachu","Forward tilt","","9%","An electrified double kick performed from the baby freeze, a variation of the freeze breakdancing move. It deals more damage when angled upward, and the lower angles semi-spike. Deals moderate knockback; the unangled version KOs Mario around 155% at the edge of Final Destination."
"798","Pikachu","Forward tilt","","8%","An electrified double kick performed from the baby freeze, a variation of the freeze breakdancing move. It deals more damage when angled upward, and the lower angles semi-spike. Deals moderate knockback; the unangled version KOs Mario around 155% at the edge of Final Destination."
"799","Pikachu","Up tilt","","5%","An overhead tail swipe, starting from behind Pikachu. An excellent combo starter, comboing into itself at low percents and into Pikachu's aerials at low to mid percents. A powerful juggling tool. Has moderate startup lag, however, as it does not hit opponents in front of Pikachu until frames 9-10, depending on their size."
"800","Pikachu","Down tilt","","6%","Lays down and sweeps its tail in front of itself. Has good horizontal reach and very low ending lag, making it somewhat spammable. Can trip at low percents."
"801","Pikachu","Dash attack","Running Headbutt","11% (clean), 6% (late)","A battering ram. The early hitbox deals solid damage and good knockback, allowing it to KO middleweights around 135% on Final Destination. It also has fairly low startup lag (frame 6), and the early hitbox lasts deceptively long. However, the late hitbox has no KO potential at any reasonable percent, and the high ending lag prevents either hit from comboing."
"802","Pikachu","Forward smash","","15% (early), 18% (clean), 12% (late)","Rears its head back before leaning forward and releasing a large orb of electricity in front of it, leaving a trail of electricity. The early hit comes out on frame 15, the clean hit on frame 17 and the late hit on frame 20. The center of the ball deals the most damage and knockback, having high horizontal KO potential. The trail deals the second most damage and the least knockback, and the tip deals the least damage and second most knockback. Has good range, with a hitbox the close to the size of Pikachu. The uncharged sweetspot KOs Mario around 80% at the edge of Final Destination, although the early hit doesn't KO until 105% and the late hit until 100%, giving the attack several sourspots and making it very inconsistent. Also has a long duration and noticeable ending lag, making it very easy to punish if shielded or dodged."
"803","Pikachu","Up smash","","14% (early, body), 13% (early, tail), 11% (clean), 7% (late)","An overhead tail swipe. Unlike Pikachu's up tilt, it starts in front of it and has good vertical KO potential. The early hit comes out somewhat quickly (frame 10) and lasts until Pikachu's tail goes above it, after which the clean hit lasts until the tail goes behind it. The early hit's sweetspot is located on Pikachu's body, and is very difficult to land outside a shield break punish. The early sweetspot KOs middleweights around 115% on Final Destination, while the early sourspot KOs around 125%. The late hit, however, deals minimal damage and knockback."
"804","Pikachu","Down smash","Electric Flower","2% (hits 1-5), 3% (hit 6)","Charges its tail with electricity before spinning it around, shocking opponents. Has the least damage potential out of all its smash attacks, dealing only 13%. It KOs middleweights around 95% at the edge of Final Destination and deals good horizontal knockback. Also has the least start-up out of all its smash attacks, coming out on frame 8, but its 42 frames of ending lag makes it very punishable if used poorly."
"805","Pikachu","Neutral aerial","","1.8% (hits 1-3), 3.5% (hit 4)","Poses while charging itself with electricity, shocking nearby opponents. Hits 4 times. One of Pikachu's most versatile tools; it is useful for breaking out of combos due to its very fast startup (frame 3), can combo into itself offstage at very low percent, can be used to drag down opponents for edgeguarding offstage, or for comboing into jab, up tilt, forward tilt, down tilt, grab, or even up smash. Autocancels in a short hop."
"806","Pikachu","Forward aerial","","1.4% (hits 1-5), 4.8% (hit 6)","Spins its forward with an electrically charged head, shocking opponents. Moderate startup lag at frame 11 and hits 6 times. Has low landing lag, making it an effective spacing option, but has very small looping hitboxes which are very close to Pikachu's head and don't use the autolink angle, thus having terrible range and unlike Pichu's version, the hits don't always connect properly because they don't launch at the autolink angle. The multiple hits and long duration make it an effective aerial for SHFFing."
"807","Pikachu","Back aerial","Glider","1% (hits 1-5), 3.6% (hit 6), 4% (landing)","Spins around horizontally, hitting multiple times, with a pose at the end to launch foes. Very fast, coming out on frame 4 and can hit all around Pikachu, but it's below average knockback doesn't make it reliable for KOing until very high percents and has very short range, only hitting opponents very close to Pikachu. At such it's more useful for combos. Can drag down opponents, and has a landing hitbox. It has 18 frames of landing lag, however."
"808","Pikachu","Up aerial","","6% (clean, tail), 5% (clean, tip), 4% (late)","An overhead tail swipe, starting from behind Pikachu. A good combo starter, comboing into itself and other aerials at low percents. Has low horizontal knockback."
"809","Pikachu","Down aerial","Electric Screw","13% (clean), 12% (late), 4% (landing)","Points down and spins its head downwards, launching opponents. The clean hit is a powerful meteor smash, while the late hit has good horizontal knockback. Has a landing hitbox. However it has 22 frames of landing lag."
"810","Pikachu","Grab","","—","Reaches out. Pikachu will have a scared look if it misses. Pikachu's grab is fast, but has low range."
"811","Pikachu","Pummel","","1%","Headbutts the opponent, shocking them with electricity."
"812","Pikachu","Forward throw","","2% (hits 1-5)","Lays the opponent on its tail and shocks them. It's Pikachu's most damaging throw, but is too weak to KO and not fit for combos either, thus having  little utility outside its high damage output."
"813","Pikachu","Back throw","","9%","Rolls backwards before launching the opponent with a tomoe nage, a throw used in judo. Very good for setting up edgeguards, as it has high base knockback and the animation means opponents near the center will end up being launched near the edge, but it is unimpressive as a KOing option as it only starts KOing middleweights around 165% at the edge of Final Destination."
"814","Pikachu","Up throw","","3% (hit 1), 5% (throw)","Heaves the opponent onto its head and headbutts it upwards. A good low percent combo throw. Has decent knockback growth, making it Pikachu's best KOing throw. However, its KO setup with Thunder is less consistent due to its higher knockback."
"815","Pikachu","Down throw","","5%","Lays the opponent on the ground and performs a senton. A good combo starter comboing into every aerial except down aerial reliably from low to mid percent, allowing Pikachu to start chains."
"816","Pikachu","Floor attack (front)","","7%","Spins its tail around itself while getting up."
"817","Pikachu","Floor attack (back)","","7%","Spins its tail around itself while getting up."
"818","Pikachu","Floor attack (trip)","","5%","Spins its tail around itself while getting up."
"819","Pikachu","Edge attack","","9%","Swings its tail in an overhead arcing motion while climbing up."
